duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.0, -2.1464101615137756, 0.21449995872615268, 1.6509540667897227e-7, -1.2382155867296518e-7, 0.0, 0.0, 0.0, 0.0, -1.7, 9.404491958520111e-7, -3.7617967800773755e-6, 2.821347584447409e-6, 0.0, 0.0, 0.0, 0.0, 0.5, -1.1657341758564144e-15, 2.248201624865942e-15, -1.0315822270475412e-15, 0.0, 0.0, 0.0, 0.0, 0.0, -1.333133803084433e-6, 5.332535212337733e-6, -3.9994014092533e-6, 0.0, 0.0, 0.0, 0.0
1.0, -1.931910161513775, 0.21449991745229002, -2.0636926933992328e-7, 2.8891697900768065e-7, 0.0, 0.0, 0.0, 0.0, -1.6999999999999997, 1.880898389039487e-6, 4.702245973264851e-6, -6.583144362637405e-6, 0.0, 0.0, 0.0, 0.0, 0.5000000000000001, 2.3592239273284576e-16, -8.465450562766819e-16, 4.117077049651622e-16, 0.0, 0.0, 0.0, 0.0, -1.0587911840678754e-22, -2.6662676061688677e-6, -6.6656690154221675e-6, 9.331936621591035e-6, 0.0, 0.0, 0.0, 0.0
1.0, -1.7174101615137753, 0.21450037146468837, 6.603816676831187e-7, -1.0318463559514748e-6, 0.0, 0.0, 0.0, 0.0, -1.7000000000000002, -8.464042752343026e-6, -1.5047187114647365e-5, 2.3511229867508494e-5, 0.0, 0.0, 0.0, 0.0, 0.4999999999999999, -2.220446049250313e-16, 3.885780586188048e-16, -1.6653345369377348e-16, 0.0, 0.0, 0.0, 0.0, 0.0, 1.1998204227759905e-5, 2.133014084935094e-5, -3.3328345077110844e-5, 0.0, 0.0, 0.0, 0.0
1.0, -1.502910161513775, 0.21449859668895588, -2.435157400171306e-6, 3.8384684442061e-6, 0.0, 0.0, 0.0, 0.0, -1.6999999999999997, 3.197527262088773e-5, 5.548650248787812e-5, -8.746177510946898e-5, 0.0, 0.0, 0.0, 0.0, 0.4999999999999999, 5.551115123125783e-17, -1.1102230246251565e-16, 7.401486830834377e-17, 0.0, 0.0, 0.0, 0.0, 0.0, -4.532654930487075e-5, -7.86548943819816e-5, 0.00012398144368685235, 0.0, 0.0, 0.0, 0.0
1.0, -1.2884101615137753, 0.21450524177948815, 9.080247932446994e-6, -1.432202742020679e-5, 0.0, 0.0, 0.0, 0.0, -1.7000000000000002, -0.000119437047731763, -0.00020689882284052885, 0.00032633587057299496, 0.0, 0.0, 0.0, 0.0, 0.4999999999999999, 5.551115123125783e-17, 1.1102230246251565e-16, -9.25185853854297e-17, 0.0, 0.0, 0.0, 0.0, 3.3881317890172014e-21, 0.00016930799299172313, 0.0002932894366785755, -0.0004625974296702986, 0.0, 0.0, 0.0, 0.0
1.0, -1.073910161513775, 0.21448043619309243, -3.388583432817338e-5, 5.344964123586241e-5, 0.0, 0.0, 0.0, 0.0, -1.6999999999999995, 0.0004457729183061643, 0.0007721087888784561, -0.0012178817071848425, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, -1.6653345369377348e-16, 1.1102230246251565e-16, 0.0, 0.0, 0.0, 0.0, -2.710505431213761e-20, -0.0006319054226620218, -0.0010945028523323204, 0.0017264082749943424, 0.0, 0.0, 0.0, 0.0
1.0, -0.8594101615137748, 0.21457301344814367, 0.00012646308937941386, -0.00019937707764305923, 0.0, 0.0, 0.0, 0.0, -1.6999999999999997, -0.0016636546254914508, -0.0028815363326760712, 0.004549432007104078, 0.0, 0.0, 0.0, 0.0, 0.4999999999999999, 0.0, 1.6653345369377348e-16, -1.1102230246251565e-16, 0.0, 0.0, 0.0, 0.0, 5.421010862427522e-20, 0.0023583136976563644, 0.004084721972650707, -0.0011920360183682545, 0.0, 0.0, 0.0, 0.0
1.0, -0.6449100620538948, 0.21422780839397332, -0.00047166814354976383, 0.00031187012079497234, 0.0, 0.0, 0.0, 0.0, -1.6999957589510633, 0.006221568730468641, 0.010766759688636163, -0.007570299709823295, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, -1.6653345369377348e-16, 8.326672684688674e-17, 0.0, 0.0, 0.0, 0.0, 0.005250999651938817, 0.006951649587853014, 0.0005086139175459435, -0.007928050337944076, 0.0, 0.0, 0.0, 0.0
1.0, -0.4308420516826762, 0.21422008246925872, 0.0004639422188351533, -0.0002004311801307168, 0.0, 0.0, 0.0, 0.0, -1.690577730241782, 0.00504418897827108, -0.011944139440833723, 0.0046325680537600365, 0.0, 0.0, 0.0, 0.0, 0.4999999999999999, -8.326672684688674e-17, 8.326672684688674e-17, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0047832128193937, -0.015815273590887326, -0.023275537096286287, 0.016674246999660466, 0.0, 0.0, 0.0, 0.0
1.0, -0.21635845817471305, 0.21454667336653688, -0.00013735132155699714, 6.164088079889847e-5, 0.0, 0.0, 0.0, 0.0, -1.6928451126505846, -0.004946385742116255, 0.001953564720446388, -0.0005255210062691251, 0.0, 0.0, 0.0, 0.0, 0.4999999999999999, 8.326672684688674e-17, 8.326672684688674e-17, -5.551115123125783e-17, 0.0, 0.0, 0.0, 0.0, -0.01763335086811945, -0.0123436067844785, 0.026747203902695114, -0.010414466433101031, 0.0, 0.0, 0.0, 0.0
